KALSHI_ID,TIMESTAMP,end_period_ts,open_interest,volume,price_close,price_high,price_low,price_mean,price_open
KXNBAGAME-26MAR05CHIPHX-PHX,2026-03-05 21:00:00+00:00,1772744400,57828.0,4322.0,0.82,0.82,0.81,0.8188,0.82
KXNBAGAME-26MAR05NOPSAC-SAC,2026-03-05 22:00:00+00:00,1772748000,17238.0,1864.0,0.34,0.34,0.33,0.3397,0.34
KXNBAGAME-26MAR05DETSAS-SAS,2026-03-05 20:00:00+00:00,1772740800,252191.0,25804.0,0.59,0.6,0.58,0.5997,0.6
KXNBAGAME-26MAR05LALDEN-DEN,2026-03-05 22:00:00+00:00,1772748000,110255.0,8978.0,0.63,0.63,0.62,0.6299,0.63
KXNBAGAME-26MAR05GSWHOU-HOU,2026-03-05 19:00:00+00:00,1772737200,214798.0,22500.0,0.77,0.77,0.75,0.7697,0.77
KXNBAGAME-26MAR05BKNMIA-MIA,2026-03-05 19:00:00+00:00,1772737200,158292.0,27301.0,0.87,0.88,0.86,0.8735,0.88
KXNBAGAME-26MAR05UTAWAS-WAS,2026-03-05 19:00:00+00:00,1772737200,128569.0,21157.0,0.62,0.63,0.61,0.6272,0.61
KXNBAGAME-26MAR06NOPPHX-PHX,2026-03-06 21:00:00+00:00,1772830800,92871.0,8051.0,0.63,0.67,0.62,0.6354,0.67
KXNBAGAME-26MAR06LACSAS-SAS,2026-03-06 21:00:00+00:00,1772830800,269194.0,21745.0,0.72,0.72,0.71,0.72,0.72
KXNBAGAME-26MAR06DALBOS-BOS,2026-03-06 19:00:00+00:00,1772823600,344481.0,46640.0,0.9,0.91,0.89,0.8999,0.91
KXNBAGAME-26MAR06NYKDEN-DEN,2026-03-06 21:00:00+00:00,1772830800,197301.0,27791.0,0.49,0.5,0.47,0.4908,0.48
KXNBAGAME-26MAR06PORHOU-HOU,2026-03-06 20:00:00+00:00,1772827200,144264.0,8691.0,0.69,0.7,0.68,0.6921,0.7
KXNBAGAME-26MAR06INDLAL-LAL,2026-03-06 22:00:00+00:00,1772834400,137206.0,4316.0,0.8,0.8,0.78,0.7939,0.78
KXNBAGAME-26MAR06MIACHA-CHA,2026-03-06 19:00:00+00:00,1772823600,159559.0,12220.0,0.73,0.74,0.73,0.739,0.74
KXNBAGAME-26MAR07UTAMIL-MIL,2026-03-07 20:00:00+00:00,1772913600,95326.0,9423.0,0.8,0.8,0.79,0.7996,0.8
KXNBAGAME-26MAR07ORLMIN-MIN,2026-03-07 15:00:00+00:00,1772895600,143828.0,13197.0,0.71,0.71,0.7,0.7099,0.71
KXNBAGAME-26MAR07GSWOKC-OKC,2026-03-07 20:00:00+00:00,1772913600,269929.0,56473.0,0.88,0.89,0.87,0.8857,0.88
KXNBAGAME-26MAR07PHIATL-ATL,2026-03-07 18:00:00+00:00,1772906400,108630.0,2400.0,0.7,0.71,0.69,0.7035,0.7
KXNBAGAME-26MAR07LACMEM-MEM,2026-03-07 20:00:00+00:00,1772913600,60309.0,2034.0,0.29,0.3,0.28,0.2893,0.3
KXNBAGAME-26MAR07BKNDET-DET,2026-03-07 18:00:00+00:00,1772906400,314916.0,49683.0,0.9,0.9,0.89,0.8998,0.9
KXNBAGAME-26MAR08ORLMIL-MIL,2026-03-08 20:00:00+00:00,1773000000,32860.0,4801.0,0.36,0.37,0.35,0.361,0.37
KXNBAGAME-26MAR08CHAPHX-PHX,2026-03-08 22:00:00+00:00,1773007200,52802.0,9421.0,0.38,0.38,0.37,0.38,0.38
KXNBAGAME-26MAR08INDPOR-POR,2026-03-08 21:00:00+00:00,1773003600,35460.0,1500.0,0.79,0.79,0.78,0.7897,0.79
KXNBAGAME-26MAR08CHISAC-SAC,2026-03-08 21:00:00+00:00,1773003600,30435.0,4843.0,0.47,0.47,0.45,0.47,0.47
KXNBAGAME-26MAR08HOUSAS-SAS,2026-03-08 20:00:00+00:00,1773000000,188965.0,25426.0,0.67,0.67,0.65,0.6693,0.67
KXNBAGAME-26MAR08BOSCLE-CLE,2026-03-08 13:00:00+00:00,1772974800,235991.0,11858.0,0.51,0.51,0.5,0.5084,0.51
KXNBAGAME-26MAR08WASNOP-NOP,2026-03-08 19:00:00+00:00,1772996400,41785.0,2583.0,0.81,0.81,0.8,0.8099,0.81
KXNBAGAME-26MAR08NYKLAL-LAL,2026-03-08 15:00:00+00:00,1772982000,130625.0,25952.0,0.42,0.43,0.41,0.4288,0.43
KXNBAGAME-26MAR08DETMIA-MIA,2026-03-08 18:00:00+00:00,1772992800,54125.0,11268.0,0.48,0.48,0.46,0.4638,0.47
KXNBAGAME-26MAR08DALTOR-TOR,2026-03-08 18:00:00+00:00,1772992800,47245.0,5006.0,0.8,0.8,0.79,0.7996,0.8
KXNBAGAME-26MAR09MEMBKN-BKN,2026-03-09 19:00:00+00:00,1773082800,66219.0,1013.0,0.48,0.48,0.46,0.4789,0.48
KXNBAGAME-26MAR09DENOKC-OKC,2026-03-09 19:00:00+00:00,1773082800,280065.0,19761.0,0.7,0.7,0.69,0.6973,0.7
KXNBAGAME-26MAR09PHICLE-CLE,2026-03-09 19:00:00+00:00,1773082800,514878.0,12038.0,0.87,0.87,0.86,0.8698,0.87
KXNBAGAME-26MAR09NYKLAC-LAC,2026-03-09 22:00:00+00:00,1773093600,140424.0,9268.0,0.45,0.45,0.44,0.4498,0.45
KXNBAGAME-26MAR09GSWUTA-UTA,2026-03-09 21:00:00+00:00,1773090000,59803.0,7343.0,0.29,0.29,0.28,0.2899,0.29
KXNBAGAME-26MAR10PHXMIL-MIL,2026-03-10 20:00:00+00:00,1773172800,67847.0,5845.0,0.48,0.48,0.46,0.4794,0.48
KXNBAGAME-26MAR10DETBKN-BKN,2026-03-10 19:00:00+00:00,1773169200,331563.0,40143.0,0.11,0.11,0.09,0.1074,0.11
KXNBAGAME-26MAR10MEMPHI-PHI,2026-03-10 19:00:00+00:00,1773169200,97431.0,8264.0,0.6,0.6,0.59,0.5998,0.6
KXNBAGAME-26MAR10CHAPOR-POR,2026-03-10 22:00:00+00:00,1773180000,25850.0,1574.0,0.42,0.42,0.41,0.419,0.42
KXNBAGAME-26MAR10INDSAC-SAC,2026-03-10 22:00:00+00:00,1773180000,72303.0,5108.0,0.59,0.59,0.59,0.59,0.59
KXNBAGAME-26MAR10BOSSAS-SAS,2026-03-10 20:00:00+00:00,1773172800,343331.0,70600.0,0.59,0.59,0.58,0.5895,0.59
KXNBAGAME-26MAR10DALATL-ATL,2026-03-10 19:00:00+00:00,1773169200,105861.0,8713.0,0.8,0.8,0.78,0.7922,0.79
KXNBAGAME-26MAR10CHIGSW-GSW,2026-03-10 22:00:00+00:00,1773180000,63686.0,2139.0,0.69,0.69,0.68,0.6898,0.69
